plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,T_oa_celsius,RH_oa_pct,P_oa_pa,state_water_intensity_L_per_MWh,estimated_WUE_liters_per_kwh,Simulated_Effectiveness,Simulated_WUE_Peak,Simulated_WUE_Mean,Simulated_WUE_Blended_10pct,Simulated_WUE_Blended_20pct,capacity_mw
1416,Arsenal Hill,2021,LA,44546.0,153.6005816,8539.884960000001,53.9042384,61,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,77.2,57.5,67.4,25.11111111111111,60.0,101325.0,986.6924882,3.448134099,3.506253221328804,3.6175223561979286,3.425532338903297,3.444731341,3.463930342362223,749.0
1416,Arsenal Hill,2024,LA,192057.0,646.7070152200001,25402.34206,277.7393171,64,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,79.0,59.4,69.2,26.11111111111111,60.0,101325.0,1142.398225,3.367266047,3.5283283953543405,3.6322432156256728,3.432565234545133,3.452533032653187,3.472500830761241,749.0
1416,Arsenal Hill,2023,LA,177828.0,627.22351,27634.99959,203.9200367,63,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,79.1,58.9,69.0,26.166666666666664,60.0,101325.0,1027.9334361770352,3.527135828,3.529542465556869,3.633081962512037,3.431773129736873,3.451904013,3.4720348962919063,749.0
1416,Arsenal Hill,2022,LA,85328.0,295.0348554,16760.194251570003,131.4672893,62,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,78.3,56.8,67.5,25.72222222222222,60.0,101325.0,922.158155705234,3.457655815,3.5196465153340712,3.626434587338261,3.425917466964883,3.445969179002221,3.4660208910395585,749.0
56467,Russell City Energy Center,2022,CA,1037388.0,616.8439157,616.8439157,0.0,9,Closed,RI,1,NG,37.63466,-122.13381,3C,C,Marine,1.509648074,68.6,50.1,59.3,20.33333333333333,60.0,101325.0,175.26246227243382,0.594612542,3.245499290878653,3.382330285893378,3.230658920375031,3.245826056926865,3.2609931934787006,655.0
56467,Russell City Energy Center,2023,CA,1788403.0,890.7296855,890.7296855,0.0,10,Closed,RI,1,NG,37.63466,-122.13381,3C,C,Marine,1.509648074,68.0,51.0,59.5,20.0,60.0,101325.0,196.1989634429307,0.498058707,3.239742064236398,3.378669669446023,3.231302989,3.2460396571699364,3.260776325200613,655.0
56467,Russell City Energy Center,2021,CA,351315.0,215.93871345,215.93871345,0.0,8,Closed,RI,1,NG,37.63466,-122.13381,3C,C,Marine,1.509648074,67.9,50.5,59.2,19.944444444444446,60.0,101325.0,180.6069952463169,0.614658393,3.238852219452572,3.378064484764653,3.2303376222431868,3.2451103084953337,3.259882995,655.0
56467,Russell City Energy Center,2024,CA,1359011.0,835.3642788000001,835.3642788000001,0.0,11,Closed,RI,1,NG,37.63466,-122.13381,3C,C,Marine,1.509648074,71.0,53.1,62.1,21.666666666666668,60.0,101325.0,177.1685916233332,0.614685443,3.268977386741028,3.397498351327868,3.2398593101565005,3.255623214273637,3.2713871183907743,655.0
3648,Gadsby,2023,UT,237249.0,280.74114724000003,935.4278067,707.0691630800001,72,Closed,RI,3,NG,40.7686,-111.9289,5B,B,Cold,0.40738603,65.3,45.6,55.5,18.5,60.0,101325.0,1139.78170820715,1.183318569,3.379692874463884,3.535249693221098,3.383843132106343,3.3989837882178184,3.4141244443292944,484.6
3648,Gadsby,2024,UT,345311.0,616.7341388,1306.62511134,689.8796163,73,Closed,RI,3,NG,40.7686,-111.9289,5B,B,Cold,0.40738603,68.0,46.7,57.4,20.0,60.0,101325.0,1188.126834298402,1.786025174,3.405887347128202,3.551929212700668,3.3899972996212333,3.406190490929177,3.4223836822371205,484.6
3648,Gadsby,2022,UT,118821.0,558.7643701000001,1034.798605,478.1351371,71,Closed,RI,3,NG,40.7686,-111.9289,5B,B,Cold,0.40738603,66.4,45.1,55.8,19.111111111111114,60.0,101325.0,1198.507395690657,4.702572526,3.390176175576336,3.5419223340772024,3.3848034381413954,3.400515327734976,3.416227217328557,484.6
3648,Gadsby,2021,UT,83008.0,406.719592,614.7392278,208.01963573000003,70,Closed,RI,3,NG,40.7686,-111.9289,5B,B,Cold,0.40738603,66.9,45.4,56.2,19.388888888888893,60.0,101325.0,1221.901425953436,4.899763782,3.3950270745858813,3.545010398430723,3.386090428969183,3.401982425915337,3.4178744228614915,484.6
56963,West Deptford Energy Station,2023,NJ,2167830.0,2023.377353,4495.893602900001,2472.591958,9,Closed,RI,2,NG,39.8414,-75.2214,4A,A,Mixed-Humid,0.355848805,67.2,49.8,58.5,19.55555555555556,60.0,101325.0,510.4006557529431,0.933365325,3.2322825388443785,3.373866874325417,3.228102156201554,3.242678628,3.257255099826327,754.6
56963,West Deptford Energy Station,2024,NJ,1191426.0,1268.911072,3868.212058,2599.308558,10,Closed,RI,2,NG,39.8414,-75.2214,4A,A,Mixed-Humid,0.355848805,67.5,50.3,58.9,19.72222222222222,60.0,101325.0,530.8169315,1.065035572,3.235057161520091,3.3756576111675507,3.229376657049967,3.2440047524617257,3.258632847873484,754.6
56963,West Deptford Energy Station,2022,NJ,1898033.0,1756.914772,4062.74049283,2305.833291,8,Closed,RI,2,NG,39.8414,-75.2214,4A,A,Mixed-Humid,0.355848805,67.0,49.3,58.1,19.444444444444443,60.0,101325.0,446.9062787,0.925650277,3.2303601450475057,3.3726798415202914,3.226835335081629,3.241419785725495,3.2560042363693618,754.6
