plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw,predicted_ceiling_75,predicted_ceiling_90,excess_pct_75,excess_pct_90,overconsumer_75,overconsumer_90,excess_ratio,risk_score
55375,Astoria Energy,2023,NY,4086002.962,0.0,0.0,0.0,17,Dry-Hybrid,DC,1,NG,40.781321,-73.896618,4A,A,Mixed-Humid,0.110353249,65.1,51.8,58.5,246.2517177006512,1245.0,197.4426457685535,871.0722326265593,-1.0,-1.0,False,False,0.0,0.0
55375,Astoria Energy,2021,NY,3062415.909,0.0,0.0,0.0,15,Dry-Hybrid,DC,1,NG,40.781321,-73.896618,4A,A,Mixed-Humid,0.110353249,64.8,51.7,58.3,251.5928626947302,1245.0,162.78149845597446,742.1768237300228,-1.0,-1.0,False,False,0.0,0.0
55375,Astoria Energy,2022,NY,3621730.039,0.0,0.0,0.0,16,Dry-Hybrid,DC,1,NG,40.781321,-73.896618,4A,A,Mixed-Humid,0.110353249,64.2,49.9,57.1,212.5279055416245,1245.0,179.00499530147917,792.8958180070383,-1.0,-1.0,False,False,0.0,0.0
55375,Astoria Energy,2024,NY,4157319.973,0.0,0.0,0.0,18,Dry-Hybrid,DC,1,NG,40.781321,-73.896618,4A,A,Mixed-Humid,0.110353249,64.9,51.5,58.2,233.73921858240791,1245.0,198.78333451393536,873.4506858818107,-1.0,-1.0,False,False,0.0,0.0
56196,500MW CC,2021,NY,2751576.0,0.0,0.0,0.0,16,Dry-Hybrid,DC,1,NG,40.7889,-73.9069,4A,A,Mixed-Humid,0.110353249,64.8,51.7,58.3,251.5928626947302,528.0,131.89351336891903,593.5493594043498,-1.0,-1.0,False,False,0.0,0.0
56196,Zeltmann,2024,NY,3681252.0,0.0,0.0,0.0,19,Dry-Hybrid,DC,1,NG,40.7889,-73.9069,4A,A,Mixed-Humid,0.110353249,64.9,51.5,58.2,233.73921858240791,528.0,159.54348010638887,693.0282578146079,-1.0,-1.0,False,False,0.0,0.0
56196,Zeltmann,2023,NY,3404622.953,0.0,0.0,0.0,18,Dry-Hybrid,DC,1,NG,40.7889,-73.9069,4A,A,Mixed-Humid,0.110353249,65.1,51.8,58.5,246.2517177006512,528.0,152.15652845677144,668.5681887219404,-1.0,-1.0,False,False,0.0,0.0
56196,500MW CC,2022,NY,2586287.978,0.0,0.0,0.0,17,Dry-Hybrid,DC,1,NG,40.7889,-73.9069,4A,A,Mixed-Humid,0.110353249,64.2,49.9,57.1,212.5279055416245,528.0,124.40132627263748,559.3673227983578,-1.0,-1.0,False,False,0.0,0.0
1416,Arsenal Hill,2021,LA,44546.0,153.60058157,8539.884960000001,53.9042384,61,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,77.2,57.5,67.4,986.692488210525,749.0,177.04234180077086,401.3979161302309,-0.13240764888407494,-0.61733587695018,False,False,0.0,0.0
1416,Arsenal Hill,2024,LA,192057.0,646.7070152200001,25402.34206272,277.73931711,64,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,79.0,59.4,69.2,1142.39822523866,749.0,489.8007791990401,937.8616933196031,0.32034705268853425,-0.3104452182805847,True,False,0.0,0.0
