plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw
55375,Astoria Energy,2023,NY,4086002.962,0.0,0.0,0.0,17,Dry-Hybrid,DC,1,NG,40.781321,-73.896618,4A,A,Mixed-Humid,0.110353249,65.1,51.8,58.5,246.2517177006512,1245.0
55375,Astoria Energy,2021,NY,3062415.909,0.0,0.0,0.0,15,Dry-Hybrid,DC,1,NG,40.781321,-73.896618,4A,A,Mixed-Humid,0.110353249,64.8,51.7,58.3,251.5928626947302,1245.0
55375,Astoria Energy,2022,NY,3621730.039,0.0,0.0,0.0,16,Dry-Hybrid,DC,1,NG,40.781321,-73.896618,4A,A,Mixed-Humid,0.110353249,64.2,49.9,57.1,212.5279055416245,1245.0
55375,Astoria Energy,2024,NY,4157319.973,0.0,0.0,0.0,18,Dry-Hybrid,DC,1,NG,40.781321,-73.896618,4A,A,Mixed-Humid,0.110353249,64.9,51.5,58.2,233.73921858240791,1245.0
56196,500MW CC,2021,NY,2751576.0,0.0,0.0,0.0,16,Dry-Hybrid,DC,1,NG,40.7889,-73.9069,4A,A,Mixed-Humid,0.110353249,64.8,51.7,58.3,251.5928626947302,528.0
56196,Zeltmann,2024,NY,3681252.0,0.0,0.0,0.0,19,Dry-Hybrid,DC,1,NG,40.7889,-73.9069,4A,A,Mixed-Humid,0.110353249,64.9,51.5,58.2,233.73921858240791,528.0
56196,Zeltmann,2023,NY,3404622.953,0.0,0.0,0.0,18,Dry-Hybrid,DC,1,NG,40.7889,-73.9069,4A,A,Mixed-Humid,0.110353249,65.1,51.8,58.5,246.2517177006512,528.0
56196,500MW CC,2022,NY,2586287.978,0.0,0.0,0.0,17,Dry-Hybrid,DC,1,NG,40.7889,-73.9069,4A,A,Mixed-Humid,0.110353249,64.2,49.9,57.1,212.5279055416245,528.0
1416,Arsenal Hill,2021,LA,44546.0,153.60058157,8539.884960000001,53.904238400000004,61,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,77.2,57.5,67.4,986.692488210525,749.0
1416,Arsenal Hill,2024,LA,192057.0,646.7070152200001,25402.34206272,277.73931711,64,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,79.0,59.4,69.2,1142.39822523866,749.0
